Codes,Name
F43.23,Adjustment disorder with mixed anxiety and depressed mood
F43.24,Adjustment disorder with disturbance of conduct
F43.25,Adjustment disorder with mixed disturbance of emotions and conduct
F43.8,Other specified trauma- and stressor-related disorder
F94.1,Reactive attachment disorder
F94.2,Disinhibited social engagement disorder
F44.0,Dissociative amnesia
F44.81,Dissociative identity disorder
F44.81,Dissociative identity disorder
F44.89,Other specified dissociative disorder
F48.1,Depersonalization/derealization disorder
F44.4,Conversion disorder (functional neurological symptom disorder) with abnormal movement
F44.4,Conversion disorder (functional neurological symptom disorder) with abnormal movement
F44.4,Conversion disorder (functional neurological symptom disorder) with abnormal movement
F44.4,Conversion disorder (functional neurological symptom disorder) with abnormal movement
F44.5,Conversion disorder (functional neurological symptom disorder) with attacks or seizures
F44.5,Conversion disorder (functional neurological symptom disorder) with attacks or seizures
F44.6,Conversion disorder (functional neurological symptom disorder) with anesthesia or sensory loss
F44.6,Conversion disorder (functional neurological symptom disorder) with anesthesia or sensory loss
F44.7,Conversion disorder (functional neurological symptom disorder) with mixed symptoms
F44.7,Conversion disorder (functional neurological symptom disorder) with mixed symptoms
F45.1,Somatic symptom disorder
F45.21,Illness anxiety disorder
F45.8,Other specified somatic symptom and related disorder
F54,Psychological factors affecting other medical conditions
F68.10,Factitious disorder
F50.2,Bulimia nervosa
F50.8,Avoidant/restrictive food intake disorder
F98.21,Rumination disorder
F98.0,Enuresis
F98.1,Encopresis
F10.182,Alcohol-induced sleep disorder with mild use disorder
F10.282,Alcohol-induced sleep disorder with moderate or severe use disorder
F10.982,Alcohol-induced sleep disorder without use disorder
F11.182,Opioid-induced sleep disorder with mild use disorder
F11.282,Opioid-induced sleep disorder with moderate or severe use disorder
F11.982,Opioid-induced sleep disorder without use disorder
F12.188,Cannabis-induced sleep disorder with mild use disorder
F12.988,Cannabis-induced sleep disorder without use disorder
F13.182,"Sedative-, hypnotic-, or anxiolytic-induced sleep disorder with mild use disorder"
F13.282,"Sedative-, hypnotic-, or anxiolytic-induced sleep disorder with moderate or severe use disorder"
F13.982,"Sedative-, hypnotic-, or anxiolytic-induced sleep disorder without use disorder"
F14.182,Cocaine-induced sleep disorder with mild use disorder
F14.282,Cocaine-induced sleep disorder with moderate or severe use disorder
F14.982,Cocaine-induced sleep disorder without use disorder
F15.182,Amphetamine (or other stimulant)_induced sleep disorder with mild use disorder
F15.282,Amphetamine (or other stimulant)_induced sleep disorder with moderate or severe use disorder
F15.982,Amphetamine (or other stimulant)_induced sleep disorder without use disorder
F17.208,Tobacco-induced sleep disorder with moderate or severe use disorder
F19.182,Other (or unknown) substance_induced sleep disorder with mild use disorder
F19.282,Other (or unknown) substance_induced sleep disorder with moderate or severe use disorder
F19.982,Other (or unknown) substance_induced sleep disorder without use disorder
F51.01,Insomnia disorder
F51.11,Hypersomnolence disorder
F51.3,Non_rapid eye movement sleep arousal disorders - Sleepwalking type
F51.4,Non_rapid eye movement sleep arousal disorders - Sleep terror type
F51.5,Nightmare disorder
G25.81,Restless legs syndrome
G47.09,Other specified insomnia disorder
G47.20,Circadian rhythm sleep-wake disorders - Unspecified type
G47.21,Circadian rhythm sleep-wake disorders - Delayed sleep phase type
G47.22,Circadian rhythm sleep-wake disorders - Advanced sleep phase type
G47.23,Circadian rhythm sleep-wake disorders - Irregular sleep-wake type
G47.24,Circadian rhythm sleep-wake disorders - Non-24-hour sleep-wake type
G47.26,Circadian rhythm sleep-wake disorders - Shift work type
G47.31,Idiopathic central sleep apnea
G47.33,Obstructive sleep apnea hypopnea
G47.34,Sleep-related hypoventilation - Idiopathic hypoventilation
G47.35,Sleep-related hypoventilation - Congenital central alveolar hypoventilation
G47.36,Sleep-related hypoventilation - Comorbid sleep-related hypoventilation
G47.37,Central sleep apnea comorbid with opioid use
G47.411,Narcolepsy with cataplexy but without hypocretin deficiency
G47.419,"Autosomal dominant cerebellar ataxia, deafness, and narcolepsy"
G47.419,"Autosomal dominant cerebellar ataxia, deafness, and narcolepsy"
G47.429,Narcolepsy secondary to another medical condition
G47.52,Rapid eye movement sleep behavior disorder
R06.3,Cheyne-Stokes breathing
F10.181,Alcohol-induced sexual dysfunction with mild use disorder
F10.281,Alcohol-induced sexual dysfunction with moderate or severe use disorder
F11.181,Opioid-induced sexual dysfunction with mild use disorder
F11.281,Opioid-induced sexual dysfunction with moderate or severe use disorder
F13.181,"Sedative-, hypnotic-, or anxiolytic-induced sexual dysfunction with mild use disorder"
F13.281,"Sedative-, hypnotic-, or anxiolytic-induced sexual dysfunction with moderate or severe use disorder"
F14.181,Cocaine-induced sexual dysfunction with mild use disorder
F14.281,Cocaine-induced sexual dysfunction with moderate or severe use disorder
F15.181,Amphetamine (or other stimulant)_induced sexual dysfunction with mild use disorder
F15.281,Amphetamine (or other stimulant)_induced sexual dysfunction with moderate or severe use disorder
F19.281,Other (or unknown) substance_induced sexual dysfunction with moderate or severe use disorder
F52.0,Male hypoactive sexual desire disorder
F52.21,Erectile disorder
F52.22,Female sexual interest/arousal disorder
F52.31,Female orgasmic disorder
F52.32,Delayed ejaculation
F52.4,Premature (early) ejaculation
F52.6,Genito-pelvic pain/penetration disorder
F64.1,Gender dysphoria in adolescents and adults
F64.2,Gender dysphoria in children
F63.1,Pyromania
F63.2,Kleptomania
F63.81,Intermittent explosive disorder
F91.1,Conduct disorder - Childhood-onset type
F91.2,Conduct disorder - Adolescent-onset type
F91.3,Oppositional defiant disorder
F91.9,Conduct disorder - Unspecified onset
F10.10,Alcohol use disorder - Mild
F10.20,Alcohol use disorder - Moderate
F10.99,Unspecified alcohol-related disorder
F11.10,Opioid use disorder - Mild
F11.20,Opioid use disorder - Moderate
F11.23,Opioid withdrawal
F12.10,Cannabis use disorder - Mild
F12.20,Cannabis use disorder - Moderate
F13.10,"Sedative, hypnotic, or anxiolytic use disorder - Mild"
F13.20,"Sedative, hypnotic, or anxiolytic use disorder - Moderate"
F15.929,"Amphetamine or other stimulant intoxication, Without perceptual disturbances without use disorder"
F15.93,Caffeine withdrawal
F16.10,Other hallucinogen use disorder - Mild
F16.20,Other hallucinogen use disorder - Moderate
F16.983,Hallucinogen persisting perception disorder
F17.200,Tobacco use disorder - Moderate
F17.203,Tobacco withdrawal
F18.10,Inhalant use disorder - Mild
F18.20,Inhalant use disorder - Moderate
F19.10,Other (or unknown) substance use disorder - Mild
F19.20,Other (or unknown) substance use disorder - Moderate
F19.239,Other (or unknown) substance withdrawal
F63.0,Gambling disorder
Z72.0,Tobacco use disorder - Mild
F05,Delirium due to another medical condition
F05,Delirium due to another medical condition
F10.121,Alcohol intoxication delirium with mild use disorder
F10.221,Alcohol intoxication delirium with moderate or severe use disorder
F10.26,"Alcohol-induced major neurocognitive disorder, Amnestic confabulatory type with moderate or severe use disorder"
F10.27,"Alcohol-induced major neurocognitive disorder, Nonamnestic confabulatory type with moderate or severe use disorder"
F10.288,Alcohol-induced mild neurocognitive disorder with moderate or severe use disorder
F10.921,Alcohol intoxication delirium without use disorder
F10.96,"Alcohol-induced major neurocognitive disorder, Amnestic confabulatory type without use disorder"
F10.97,"Alcohol-induced major neurocognitive disorder, Nonamnestic confabulatory type without use disorder"
F10.988,Alcohol-induced mild neurocognitive disorder without use disorder
F11.121,Opioid intoxication delirium with mild use disorder
F11.221,Opioid intoxication delirium with moderate or severe use disorder
F11.921,Opioid-induced delirium
F12.121,Cannabis intoxication delirium with mild use disorder
F12.221,Cannabis intoxication delirium with moderate or severe use disorder
F12.921,Cannabis intoxication delirium without use disorder
F13.121,"Sedative, hypnotic, or anxiolytic intoxication delirium with mild use disorder"
F13.221,"Sedative, hypnotic, or anxiolytic intoxication delirium with moderate or severe use disorder"
F13.27,"Sedative-, hypnotic-, or anxiolytic-induced major neurocognitive disorder with moderate or severe use disorder"
F13.288,"Sedative-, hypnotic-, or anxiolytic-induced mild neurocognitive disorder with moderate or severe use disorder"
F13.921,"Sedative-, hypnotic-, or anxiolytic-induced delirium"
F13.97,"Sedative-, hypnotic-, or anxiolytic-induced major neurocognitive disorder without use disorder"
F13.988,"Sedative-, hypnotic-, or anxiolytic-induced mild neurocognitive disorder without use disorder"
F14.121,Cocaine intoxication delirium with mild use disorder
F14.221,Cocaine intoxication delirium with moderate or severe use disorder
F14.921,Cocaine intoxication delirium without use disorder
F15.121,Amphetamine (or other stimulant) intoxication delirium with mild use disorder
F15.221,Amphetamine (or other stimulant) intoxication delirium with moderate or severe use disorder
F15.921,Amphetamine (or other stimulant)_induced delirium
F16.121,Other hallucinogen intoxication delirium with mild use disorder
F16.221,Other hallucinogen intoxication delirium with moderate or severe use disorder
F16.921,Other hallucinogen intoxication delirium without use disorder
F18.121,Inhalant intoxication delirium with mild use disorder
F18.17,Inhalant-induced major neurocognitive disorder with mild use disorder
F18.188,Inhalant-induced mild neurocognitive disorder with mild use disorder
F18.221,Inhalant intoxication delirium with moderate or severe use disorder
F18.27,Inhalant-induced major neurocognitive disorder with moderate or severe use disorder
F18.288,Inhalant-induced mild neurocognitive disorder with moderate or severe use disorder
F18.921,Inhalant intoxication delirium without use disorder
F18.97,Inhalant-induced major neurocognitive disorder without use disorder
F18.988,Inhalant-induced mild neurocognitive disorder without use disorder
F19.17,Other (or unknown) substance_induced major neurocognitive disorder with mild use disorder
F19.221,Other (or unknown) substance intoxication delirium with moderate or severe use disorder
F19.27,Other (or unknown) substance_induced major neurocognitive disorder with moderate or severe use disorder
F19.921,Other (or unknown) substance_induced delirium
F19.97,Other (or unknown) substance_induced major neurocognitive disorder without use disorder
F07.0,Personality change due to another medical condition
F21,Schizotypal personality disorder
F60.0,Paranoid personality disorder
F60.1,Schizoid personality disorder
F60.2,Antisocial personality disorder
F60.3,Borderline personality disorder
F60.4,Histrionic personality disorder
F60.5,Obsessive-compulsive personality disorder
F60.6,Avoidant personality disorder
F60.7,Dependent personality disorder
F60.81,Narcissistic personality disorder
F65.0,Fetishistic disorder
F65.1,Transvestic disorder
F65.2,Exhibitionistic disorder
F65.3,Voyeuristic disorder
F65.4,Pedophilic disorder
F65.51,Sexual masochism disorder
F65.52,Sexual sadism disorder
F65.81,Frotteuristic disorder
F12.288,Cannabis-induced sleep disorder with moderate or severe use disorder
F10.14,Alcohol-induced bipolar and related disorder with mild use disorder
F10.24,Alcohol-induced bipolar and related disorder with moderate or severe use disorder
F10.94,Alcohol-induced bipolar and related disorder without use disorder
F13.14,"Sedative-, hypnotic-, or anxiolytic-induced bipolar and related disorder with mild use disorder"
F13.24,"Sedative-, hypnotic-, or anxiolytic-induced bipolar and related disorder with moderate or severe use disorder"
F13.94,"Sedative-, hypnotic-, or anxiolytic-induced bipolar and related disorder without use disorder"
F14.14,Cocaine-induced bipolar and related disorder with mild use disorder
F14.24,Cocaine-induced bipolar and related disorder with moderate or severe use disorder
F14.94,Cocaine-induced bipolar and related disorder without use disorder
F15.14,Amphetamine (or other stimulant)_induced bipolar and related disorder with mild use disorder
F15.24,Amphetamine (or other stimulant)_induced bipolar and related disorder with moderate or severe use disorder
F15.94,Amphetamine (or other stimulant)_induced bipolar and related disorder without use disorder
F16.14,Other hallucinogen_induced bipolar and related disorder with mild use disorder
F16.24,Other hallucinogen_induced bipolar and related disorder with moderate or severe use disorder
F16.94,Other hallucinogen_induced bipolar and related disorder without use disorder
F19.14,Other (or unknown) substance_induced bipolar and related disorder with mild use disorder
F19.24,Other (or unknown) substance_induced bipolar and related disorder with moderate or severe use disorder
F19.94,Other (or unknown) substance_induced bipolar and related disorder without use disorder
F10.381,#N/A
F11.381,#N/A
F13.381,#N/A
F14.381,#N/A
F15.381,#N/A
F16.28,#N/A
F19.121,Other (or unknown) substance intoxication delirium with mild use disorder
F19.181,Other (or unknown) substance_induced sexual dysfunction with mild use disorder
F19.381,#N/A
